no,nama,type,vote_average,vote_count,htm_weekday,htm_weekend,latitude,longitude,image,description
43,Fort Vredeburg Museum,Budaya_Dan_Sejarah,4.6,15281,3000,3000,-7.8002016,110.3663044,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748941420/vedeburg_jsh0b8.jpg,letak benteng vredeburg yogyakarta di kawasan nol kilometer pusat kota yogyakarta menjadikan sebuah daya tarik bagi para wisatawan dalam pelayanannya kepada masyarakat museum benteng vredeburg tidak lepas dari unsur unsur pendidikan karena pada dasarnya museum memiliki dua fungsi yaitu sebagai rekreasi sekaligus tempat pendidikan informasi tentang kebudaya dan sejarahan kebudayaan dan nilai nilai luhur kejuangan disampaikan kepada generasi muda dalam nuansa edutainment yang berasal dari kata education dan entertainment demikianlah benteng vredeburg yang sekarang menjadi museum benteng vredeburg yogyakarta telah melekat dengan kota yogyakarta latar belakang budaya dan sejarah kota yogyakarta baik sebagai ibukota kasultanan yogyakarta dan ibukota nkri tidak dapat dipisahkan dengan budaya dan sejarah benteng vredeburg yogyakarta pelestarian benteng vredeburg sebagai museum bukan berarti pengagungan simbol kejayaan kolonial akan tetapi tujuannya untuk mendapatkan fungsi baru yang dapat memberikan informasi dan aspirasi perjuangan nasional bagi generasi mendatang
13,Museum Benteng Vredeburg,Budaya_Dan_Sejarah,4.6,15279,3000,3000,-7.799287456,110.3661757,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748941422/vredeburg_ia1nqf.jpg,benteng vredeburg merupakan salah satu museum peninggalan belanda yang sangat terkenal di jogja karena di museum ini memiliki nilai cerita yang cukup panjang dan masih bertahan hingga saat ini museum benteng vredeburg mengoleksi berbagai macam karya seni berbagai macam patung dan berbagai macam senjata peninggalan belanda
121,Sindu Kusuma Edupark (SKE),Buatan,4.2,14072,20000,20000,-7.7672973,110.3542486,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748941422/SKE_ld0mfv.jpg,sindu kusuma edupark merupakan wahana bermain berbasis edukasi dan hiburan untuk semua usia yang buka paling pagi dan tutup paling malam di jogjakarta destinasi wisata ini menyuguhkan sebuah tempat bermain bagi keluarga yang lengkap dengan berbagai wahana permainan yang seru dan juga menantang wahana wahana seperti kora kora bianglala waterpark dan light festival menjadi wahana terfavorit bagi para wisatawan selain itu tersedia juga restoran berkonsep industrial fun cafe dengan harga yang murah dan terjangkau cocok untuk anda sekeluarga semua transaksi di sindu kusuma edupark ini menggunakan kartu khusus yang bisa diperoleh di loket tiket jadi tidak repot lagi mengeluarkan uang tunai selain wahana permainan di ske ini juga ada beberapa foto spot yang cukup bagus untuk dijadikan background foto
90,Tugu,Budaya_Dan_Sejarah,4.8,13330,0,0,-7.7828822,110.3670514,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748941421/tugu-jogja_yuyc8j.jpg,tugu ini sekarang merupakan salah satu objek pariwisata yogyakarta dan sering dikenal dengan istilah tugu pal putih pal juga berarti tugu karena warna cat yang digunakan sejak dulu adalah warna putih tugu pal ini berbentuk bulat panjang dengan bola kecil dan ujung yang runcing di bagian atasnya jika dilihat dari keraton yogyakarta ke arah utara maka akan terlihat bahwa jalan malioboro jalan margo utomo tugu yogyakarta dan jalan a m sangadji membentuk garis lurus menuju puncak gunung merapi yang dikenal sebagai garis imajiner yogyakarta
26,Heha Sky View,Buatan,4.4,13048,10000,10000,-7.848530311,110.4787102,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748941422/heha-sky_bdlzgw.jpg,salah satu destinasi wisata favorit yang menawarkan pemandangan terbaik kota yogyakarta dan sekitarnya dari lantai  terletak di kawasan perbukitan gunungkidul heha sky view hanya berjarak menit dari pusat kota yogyakarta sky ballon yang dibuat colorful menjadi salah satu wahana yang wajib dicoba disini terdapat street food yang beraneka ragam dan dapat dinikmati sembari duduk dan mengobrol di bean bag ataupun outdoor area banyak spot foto keren
395,Pantai Goa Cemara,Pantai,4.3,12755,4000,4000,-7.999423,110.248963,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748941420/Pantai-Goa-Cemara_d7mbf6.jpg,adalah kawasan wisata terpadu satu pintu dengan pembagian area yang jelas public area memang seperti diutamakan di pantai ini jajaran pedagang lokal berpadu dengan ramainya pasar tradisional dengan area cakupan luas meliputi wilayah konservasi penyu hijau wilayah lahan pertanian daerah wisata dan pelestarian hutan cemara pasar tradisional wisata pantai outbond camping ground ruang pertemuan atv jip wisata offroad gumukpasir kuliner dan cinderamata dengan dukungan fasilitas publik yang lengkap dan terus berkembang fasilitas publik seperti mck kantor sekretariat kantor keamanan posko sar rumah ibadah pos kesehatan juga tersedia
347,XT Square,Buatan,4.3,12396,25000,25000,-7.8165658,110.3866908,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748941641/xt-square_ztlvg3.jpg,xt square merupakan kawasan yang dibangun dengan konsep terpadu yang ditawarkan kepada masyarakat dalam satu paket pusat wisata belanja yakni what to see what to eat dan what to buy didesain sebagai ruang publik dengan konsep citywalk didukung dengan area kuliner serta area pertunjukan seni semakin menunjang aktifitas wisata belanja yang nyaman dan menyenangkan xt square dibangun untuk kepuasan pengunjung
21,Kaliadem,Alam,4.5,12338,3000,3000,-7.582047728,110.4476387,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748941420/bungker-kali-adem_gp0sw4.jpg,bunker kaliadaem merupakan tempat untuk berlindung dari ganasnya gunung merapi tempat ini menyimpan banyak jejak ganasnya gunung merapi di bunker kaliadem terdapat pintu utama yang terbuat dari baja setebal cm ruangan bungker yang masih memiliki sisa sisa material merapi dan bagian atas yang dilapisi batu serta pasir vulkanis
344,Monumen Yogya Kembali,Museum,4.5,11302,15000,15000,-7.7495904,110.3696068,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748941420/monumen-jogja-kembali_opjcw6.jpg,museum monumen jogja kembali adalah sebuah museum budaya dan sejarah perjuangan kemerdekaan republik indonesia yang ada di kota yogyakarta dan dikelola oleh departemen kebudayaan dan pariwisata museum yang berada di bagian utara kota ini banyak dikunjungi oleh para pelajar dalam acara darmawisata museum monumen dengan bentuk kerucut ini terdiri dari lantai dan dilengkapi dengan ruang perpustakaan serta ruang serbaguna pada rana pintu masuk dituliskan sejumlah nama pahlawan yang gugur di daerah wehrkreise iii ris antara tanggal desember sampai dengan juni dalam ruang museum di lantai terdapat benda benda koleksi realia replika foto dokumen heraldika berbagai jenis senjata bentuk evokatif dapur umum dalam suasana perang kemerdekaan tandu dan dokar kereta kuda yang pernah dipergunakan oleh panglima besar jenderal soedirman juga disimpan di sini di ruang museum nomor monumen jogja kembali beralamat di jalan raya ring road utara sleman yogyakarta
249,Ratu Boko,Budaya_Dan_Sejarah,4.6,11176,40000,40000,-7.7705416,110.4894158,https://res.cloudinary.com/dfciqrwpe/image/upload/v1748941420/ratu-boko_mdqhec.jpg,istana ratu boko adalah sebuah bangunan megah yang dibangun pada masa pemerintahan rakai panangkaran salah satu keturunan wangsa syailendra istana yang awalnya bernama abhayagiri vihara berarti biara di bukit yang penuh kedamaian ini didirikan untuk tempat menyepi dan memfokuskan diri pada kehidupan spiritual berada di istana ini anda bisa merasakan kedamaian sekaligus melihat pemandangan kota yogyakarta dan candi prambanan dengan latar gunung merapi
368,Depok Beach,Pantai,4.3,10820,10000,10000,-8.0137087,110.2914777,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749348842/pantai-depok_st5ac2.jpg,pantai depok yang letaknya hanya km dari parangtritis ini memang terkenal di kalangan wisatawan lokal selain karena keindahan pantainya wisata pantai yogyakarta yang satu ini juga terkenal dengan aneka menu seafood yang rasanya mampu menggoyang lidah tidak heran hampir seluruh warga yang tinggal di sekitar pantai ini berprofesi sebagai nelayan itulah kenapa hidangan laut yang diolah di tempat ini sangat istimewa sebab memang semua ikan dan seafood yang ada di sini memang masih segar ketika diolah
45,Central Museum of the Air Force Dirgantara Mandala,Museum,4.5,9828,3000,3000,-7.7899338,110.4156788,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749348840/museum-dirgantara-mandala_eoshpn.jpg,museum pusat tni au dirgantara mandala adalah museum yang digagas oleh tni angkatan udara untuk mengabadikan peristiwa berbudaya dan sejarah dalam lingkungan tni au bermarkas di kompleks pangkalan udara adi sutjipto yogyakarta museum ini sebelumnya berada berada di jalan tanah abang bukit jakarta dan diresmikan pada april oleh panglima au laksamana roesmin noerjadin lalu dipindahkan ke yogyakarta pada juli
12,Masjid Gedhe Kauman,Budaya_Dan_Sejarah,4.8,9784,10000,10000,-7.802697521,110.3625956,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749348839/Masjid-Gedhe-Kauman_ts5rcm.jpg,masjid gedhe kauman dibangun oleh sri sultan hamengku buwono i bersama kyai faqih ibrahim diponingrat penghulu kraton pertama dan kyai wiryokusumo sebagai arsiteknya masjid ini dibangun pada hari ahad wage mei m atau rabi ulakhir h masjid gedhe kauman merupakan tempat untuk beribadah namun masjid ini juga menjadi tempat wisata yang cukup terkenal meskipun demikian fungsi utama masjid sebagai tempat ibadah masih terjaga dengan sangat baik lengkap dengan semua fasilitas yang diperlukan
5,Bukit Paralayang Watugupit,Alam,4.7,9614,5000,5000,-8.026589501,110.3458478,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749348839/paralayang-watugupit_xyrypb.jpg,seperti namanya bukit ini digunakan sebagai tempat untuk landasan pacu olahraga paralayang para profesional banyak yang berlatih di sini bahkan orang awam pun dapat mencoba paralayang karena terdapat instruktur yang akan mendampingi
371,Pantai Drini,Pantai,4.5,8969,10000,10000,-8.1384509,110.577522,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749348839/pantai-drini_icykrb.jpg,pantai drini merupakan salah satu pantai di deretan pantai selatan gunungkidul yang banyak direkomendasikan pantai ini dijuluki sebagai pantai perawan karena kondisi pantai ini masih bersih dengan suasana yang masih alami udara tempat wisata ini sejuk aliran airnya tenang dan pasir putihnya begitu mempesona
19,Pantai Parangtritis,Pantai,4.5,8727,6000,6000,-8.024608,110.3298045,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749348838/Pantai-Parangtritis_h9fqon.jpg,pantai parangtritis merupakan salah satu ikon di kabupaten bantul pantai ini memiliki pasir hitam di pantai ini dapat bermain atv menaiki kuda di sisi utara timur pantai dapat menemukan bukit kecil yang sangat cocok untuk menikmati pemandangan sore hari ditemani angin pantai ini memiliki cerita misteri di dalamnya
353,Embung Tambakboyo,Buatan,4.4,8564,2000,2000,-7.756227,110.4150131,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749348840/tambakboyo_przhxk.jpg,waduk tambakboyo kabupaten sleman daerah istimewa yogyakarta ini dibangun pada tahun dan selesai tahun pembangunan yang memakan waktu lima tahun ini memang sudah diperhitungkan dengan matang pada mulanya embung atau waduk ini dibangun sebagai tempat penampungan air untuk cadangan warga sleman namun seiring dengan berjalannya waktu embung tambakboyo menjadi salah satu wisata alam gratis yang banyak peminatnya
464,Lava Merapi and Alien Stone,Alam,4.5,8111,350000,350000,-7.6023375,110.4552585,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749348838/Batu-Alien-Jogja_xddyqa.jpg,lava tour merapi bisa menjadi pilihan aktivitas wisata ketika berlibur di yogyakarta lava tour merapi adalah istilah untuk tur wisata kawasan terdampak erupsi gunung merapi tahun tur yang dimaksud saat ini merupakan tur menggunakan mobil jenis jeep kegiatan tur meliputi kunjungan ke sejumlah titik yang terkena dampak langsung erupsi lava tour merapi ditawarkan sebagai aneka pilihan paket wisata paket paket ini dibanderol dengan harga yang beragam setiap paket sudah termasuk tiket masuk untuk sejumlah titik pemberhentian paket wisata ini bisa menampung rombongan sehingga cocok untuk dijajal sebagai liburan keluarga atau bersama teman
221,Candi Plaosan,Budaya_Dan_Sejarah,4.6,7855,3000,3000,-7.7407807,110.5046772,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749348847/candi-plaosan_tgimgl.jpg,candi plaosan terletak di desa bugisan kecamatan prambanan kabupaten klaten kira kira km ke arah timur dari candi sewu candi ini merupakan sebuah kompleks bangunan kuno yang terbagi menjadi dua yaitu kompleks candi plaosan lor lor dalam bahasa jawa berarti utara dan kompleks candi plaosan kidul kidul dalam bahasa jawa berarti selatan pahatan yang terdapat di candi plaosan sangat halus dan rinci mirip dengan yang terdapat di candi borobudur candi sewu dan candi sari candi plaosan yang merupakan candi buddha ini oleh para ahli diperkirakan dibangun pada masa pemerintahan rakai pikatan dari kerajaan mataram hindu yaitu pada awal abad ke m salah satu pakar yang mendukung pendapat itu adalah de casparis yang berpegang pada isi prasasti cri kahulunan m dalam prasasti tersebut dinyatakan bahwa candi plaosan lor dibangun oleh ratu sri kahulunan dengan dukungan suaminya menurut de casparis sri kahulunan adalah gelar pramodhawardani putri raja samarattungga dari wangsa syailendra sang putri yang memeluk agama buddha menikah dengan rakai pikatan dari wangsa sanjaya yang memeluk agama hindu
466,Agro Tourism Bhumi Merapi,Agrowisata,4.5,7697,30000,30000,-7.6400756,110.4264098,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749348846/agrowisata-bhumi-merapi_e1wkyd.jpg,agrowisata bhumi merapi yogyakarta tempat wisata yang terletak di daerah kaliurang ini menawarkan wisata edukasi bagi para pengunjungnya dibangun pada tahun dengan luas hektar tempat wisata ini menawarkan konsep pertanian perkebunan dan peternakan jadi selain liburan para pengunjung pun bisa mendapatkan banyak ilmu suasananya yang sejuk dan nyaman juga membuat para pengunjung betah berlama lama disana berbagai aktivitas wisata bisa dilakukan di tempat wisata ini utamanya kegiatan kegiatan yang berhubungan dengan pertanian peternakan dan perkebunan berikut beberapa diantaranya identik dengan wisata edukasi taman rekreasi ini menyediakan tempat belajar budidaya hewan bagi para pengunjungnya diantaranya kambing dan kelinci kambing yang dipelajari adalah jenis kambing ettawa kegiatan yang dilakukan diantaranya adalah memerah susu kambing memberikan susu dot bagi anak kambing mengolah susu untuk dijadikan yogurt dan ice cream pengolahan pakan ternak dan pengolahan kotoran kambing menjadi pupuk organik dan biogas sedangkan kelinci yang ada disini adalah kelinci hias dan kelinci pedaging dan pengunjung juga bisa memberi makan kepada kelinci selain itu ada juga binatang berjenis reptile yang dipelihara disini seperti ular kura kura dan reptile lainnya yang dapat digunakan sebagai sarana edukasi
171,Wisata Kalibiru,Alam,4.4,6912,10000,10000,-7.8057305,110.127969,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749348845/kalibiru_jqpv8i.jpg,wisata kalibiru terletak pada ketinggian mdpl yang kini telah menjadi hutan wisata nan subur dengan perbukitan yang ditumbuhi oleh berbagai pepohonan seperti cemara jati dan kayu putih tempat wisata ini terletak di pedesaan tak heran jika banyak dijumpai rumah berarsitektur jawa kuno rumah  rumah ini difungsikan sebagai kantor pengelola serta loket tiket masuk setelah itu pengunjung harus melakukan trekking di hutan untuk dapat menuju spot utama di sini telah disediakan jalan setapak sehingga pengunjung tinggal mengikuti arah jalan tersebut di sepanjang perjalanan pengunjung akan menemukan berbagai jenis vegetasi mulai dari semak  semak hingga pepohonan berbatang kayu yang bercabang  cabang selain itu ada juga tanaman anggrek yang seolah bersembunyi di rimbunnya pepohonan
52,De Mata Trick Eye Museum,Buatan,4.4,6855,40000,40000,-7.8163156,110.3871442,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749348844/de-mata-trick-eye-museum_xreqzs.jpg,berawal dari keinginan bahwa indonesia tidak boleh kalah dengan negara lain dalam bidang pariwisata direktur utama pt demata maris indonesia yaitu bapak petrus fx kusuma mendapatkan inspirasi untuk mengadaptasi konsep tempat wisata dari luar negeri agar dapat dibawa ke indonesia bertujuan agar masyarakat di indonesia dapat mengunjungi tempat serupa namun tidak sama yang tetap lekat dengan unsur edukatif inovatif dan entertaining ditawarkan dengan harga tiket masuk yang low cost highly entertaining sehingga memberikan kesempatan terhadap semua kalangan untuk dapat berwisata dengan adanya beberapa tempat wisata yang sudah ada dan yang akan dibangun oleh pt demata maris indonesia tidak hanya merupakan sebuah cita cita dan mimpi yang terwujud namun juga sebuah bisnis yang potensial yang memberikan kesempatan kepada seluruh masyarakat indonesia untuk berwisata dengan harga tiket yang murah
16,Candi Sambisari,Budaya_Dan_Sejarah,4.6,6238,5000,5000,-7.762491,110.4470374,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749348844/candi-sambisari_g6thng.jpg,candi sambisari adalah candi hindu yang berada di purwomartani kalasan sleman daerah istimewa yogyakarta posisinya kira kira berada kilometer km di sebelah timur kota yogyakarta ke arah kota solo lokasi candinya pun cukup unik yaitu terletak kira kira meter lebih rendah dari permukaan tanah di sekitarnya oleh karena itu jika hendak masuk ke dalam kompleks candi kamu harus berjalanan kaki menuruni puluhan anak tangga yang cukup curam sehingga kamu harus berhati hati jika kamu berada di kawasan sekitar candi yang kamu lihat hanyalah atap candi yang sedikit menyembul di permukaan tanah
391,Pantai Wediombo,Pantai,4.5,6072,5000,5000,-8.1902176,110.7103772,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749348843/pantai-wediombo_uhuvmg.jpg,daya tarik pantai ini terletak di gugusan karangnya sepanjang bibir pantai wedi ombo dihiasi hamparan karang bebatuan ini membuat wedi ombo bagaikan taman karang yang luas selain itu lautnya yang tenang membuat lokasinya cocok untuk bersantai pantai wedi ombo berada di pinggiran teluk pantai ini menghadap ke barat dengan garis pantai nyaris lurus ini membuat angin laut yang menerpa tidak sekencang pantai lainnya sehingga lautnya pun cenderung lebih tenang
366,Pantai Parangkusumo,Pantai,4.4,5887,3000,3000,-8.022769,110.324995,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749352218/pantai-parangkusumo-01_ti8krk.jpg,pantai parangkusumo merupakan salah satu pantai yang dianggap sakral oleh penduduk setempat masyarakat jogja meyakini adanya hubungan spesial antara keraton jogja dengan nyi roro kidul penguasa pantai selatan dalam tradisi jawa pantai parangkusumo dianggap sebagai gerbang utama atau jalan menuju keraton gaib laut selatan kerajaan nyi roro kidul karena itu tak heran jika pantai parangkusumo kerap menjadi tujuan peziarah saat bulan sura dalam kalender penanggalan jawa begitu pun pada hari hari biasa pengunjung akan meramaikan pantai saat malam selasa kliwon dan jumat kliwon meski kental dengan nuansa mistis dan legenda pantai parangkusumo juga menawarkan pemandangan yang tak kalah indah dari pantai lain di jogja di sini kamu akan melihat tumbuhan sejenis kelapa sawit berjejer di bagian belakang pantai yang menciptakan kesan asri
170,Taman Sungai Mudal,Alam,4.6,5499,10000,10000,-7.7628136,110.1161626,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749352218/sungai-mudal_reihve.jpg,taman sungai mudal sebuah objek wisata alam terbuka yang terletak di kabupaten kulon progo yang menawarkan pesona sebuah kolam pemandian yang bersumber dari mata air alami mata airnya bersumber dari sebuah goa sehingga kehadiran taman sungai mudal menjadi mengesampingkan kesan angker dari sebuah goa apalagi ditambah dengan dukungan fasilitas yang membuat para wisatawan merasa nyaman saat berada di sana
131,Taman Pelangi Jogja,Buatan,4.3,5459,15000,20000,-7.7505259,110.3687049,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749352218/taman-pelangi_soffxd.jpg,kalau pelangi biasanya ada di siang hari pasca hujan maka di taman pelangi yogyakarta pengunjung justru bisa menikmatinya setiap malam hari ya ini lantaran taman ini merupakan taman lampion beraneka warna dan rupa pengunjung bisa mengarahkan diri ke deretan lampion yang berbentuk flora dan fauna ada juga lampion berbentuk tokoh kartun disney dan kartun jepang dinosaurus naga serta kehidupan bawah laut yang sangat menarik perhatian terutama anak anak tak meninggalkan budaya dan sejarah ada juga lampion yang berbentuk wajah para tokoh pemimpin bangsa buka sejak petang taman ini memang sangat cocok dijadikan pilihan destinasi rekreasi keluarga saat malam hari
96,Situs Warungboto,Budaya_Dan_Sejarah,4.4,5392,5000,7500,-7.8102685,110.3931513,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749352218/situs-warungboto_qaxt2m.jpg,situs warungboto merupakan petilasan yang dibangun pada masa pemerintahan sultan hamengkubuwono i kemudian pembangunannya diteruskan pada masa pemerintahan sultan hamengkubuwono ii dulunya tempat ini khusus dijadikan sebagai tempat pemandian dikarenakan adanya sumber mata air di lokasi tersebut situs warungboto berada di tengah kota jogja tepatnya di umbulharjo objek wisata ini merupakan peninggalan berbudaya dan sejarah yang dulu dibangun oleh keluarga keraton saat ini area situs telah dibersihkan dan direnovasi sehingga dapat dikunjungi wisatawan tentunya tempat ini begitu menarik karena bangunannya yang unik dan instagramable
373,Pantai Cemara Sewu Bantul Yogyakarta,Pantai,4.4,5372,10000,10000,-8.019114,110.3145616,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749352218/pantai-comoro-sewu_zubgog.jpg,jika anda mencari suasana nyaman dan ketenangan maka pantai ini lah juaranya seperti namanya yang berarti pantai seribu cemara maka begitu anda tiba di area pantai anda akan langsung disambut dengan pohon cemara pohon cemara menjadi ikon penting bagi pantai ini berbeda dengan pantai pantai lain yang akan semakin panas jika hari semakin siang di pantai cemoro sewu suasana teduh akan bisa selalu anda rasakan walaupun matahari sangat menyengat sekalipun gazebo gazebo yang berdiri rapi di antara pepohonan cemara yang rimbun membuat pengunjung semakin betah untuk bersantai di sana apalagi jika semakin sore angin pantai akan semakin semilir menambah sejuk suasana
460,Bukit Klangon,Alam,4.5,5280,5000,5000,-7.5768966,110.4548266,https://res.cloudinary.com/dfciqrwpe/image/upload/v1749352218/bukit-kalngon_aijlmo.jpg,di bukit klangon kita akan disuguhkan pemandangan luar biasa dari gunung merapi kita bisa melihat gunung berapi aktif ini dengan jarak yang begitu dekat kita tak perlu mendaki hingga puncaknya karena di bukit klangon ini kita sudah bisa melihat puncak gunung merapi dengan cukup jelas di sini terdapat beberapa gardu pandang yang bisa kita gunakan untuk melihat eksotisme alam sekitar bukit gardu pandang ini juga biasa menjadi spot foto jadi jangan sampai anda melupakan kamera anda untuk berburu pemandangan yang instagenic
